673,000
260,000
260,000
260,000
800,000
863,000
417,000
417,000
417,000
417,000
443,000
443,000
223,000
249,000
337,000
337,000
371,000
371,000
474,000
507,000
574,000
641,000
641,000
677,000
697,000
507,000
574,000
474,000
507,000
507,000
474,000
474,000
438,000
438,000
371,000
292,000
292,000
292,000
292,000
224,000
224,000
321,000
450,000
486,000
303,000
436,000
277,000
232,000
331,000
249,000
247,000
257,000
287,000
382,000
405,000
459,000
450,000
311,000
315,000
422,000
574,000
350,000
405,000
527,000
302,000
302,000
269,000
269,000
269,000
292,000
405,000
473,000
405,000
260,000
224,000
269,000
201,000
201,000
